Index,Airline Name,From,To,Departure,Arrival,Return Airline Name,Return From,Return To,Return Departure,Return Arrival,Price
60,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,152"
61,American Airlines,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,American Airlines,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,164"
62,Iberia,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,163"
63,United Airlines,Newark,London Heathrow,8:20 am,8:40 pm,United Airlines,London Heathrow,Newark,4:00 pm,7:10 pm,"$1,175"
64,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,152"
65,American Airlines,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,American Airlines,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,164"
66,Iberia,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,163"
67,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,Newark,4:35 pm,7:25 pm,"$1,152"
68,American Airlines,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,American Airlines,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,164"
69,Finnair,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,164"
70,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,159"
71,American Airlines,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,American Airlines,London Heathrow,Newark,4:35 pm,7:25 pm,"$1,164"
72,Iberia,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,163"
73,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,159"
74,American Airlines,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,American Airlines,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,164"
75,Iberia,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,163"
76,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,Newark,4:35 pm,7:25 pm,"$1,159"
77,American Airlines,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,American Airlines,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,164"
78,Iberia,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,163"
79,British Airways,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,159"
80,American Airlines,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,American Airlines,London Heathrow,Newark,4:35 pm,7:25 pm,"$1,164"
81,Iberia,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,163"
