Index,Airline Name,From,To,Departure,Arrival,Return Airline Name,Return From,Return To,Return Departure,Return Arrival,Price
52,Iberia,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,233"
53,Iberia,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,Iberia,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,234"
54,Finnair,Newark,London Heathrow,5:55 pm,5:50 am,Finnair,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,233"
55,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,227"
56,Iberia,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,233"
57,Iberia,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,Iberia,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,234"
58,Finnair,Newark,London Heathrow,5:55 pm,5:50 am,Finnair,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,233"
59,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,227"
60,Iberia,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,233"
61,Iberia,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,Iberia,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,234"
62,Finnair,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,Finnair,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,233"
63,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,2:10 pm,4:59 pm,"$1,227"
64,Iberia,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,233"
65,Iberia,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,Iberia,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,239"
66,Finnair,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,Finnair,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,233"
67,British Airways,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,2:10 pm,4:59 pm,"$1,227"
68,Finnair,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,236"
69,Iberia,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,Iberia,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,239"
70,Finnair,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,Finnair,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,244"
71,British Airways,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,2:10 pm,4:59 pm,"$1,227"
72,Finnair,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,Iberia,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,236"
73,Iberia,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,Iberia,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,239"
74,Finnair,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,Finnair,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,244"
75,British Airways,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,227"
76,Finnair,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,Iberia,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,236"
77,Iberia,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,Iberia,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,239"
78,Finnair,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,Finnair,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,244"
79,British Airways,New York John F Kennedy Intl,London Heathrow,6:30 pm,6:30 am,British Airways,London Heathrow,New York John F Kennedy Intl,2:10 pm,4:59 pm,"$1,227"
80,Finnair,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,236"
81,Iberia,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,Iberia,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,239"
82,Finnair,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,Finnair,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,224"
83,British Airways,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,227"
84,Finnair,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,236"
85,Iberia,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,Iberia,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,239"
86,Finnair,New York John F Kennedy Intl,London Heathrow,8:55 pm,9:10 am,Finnair,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,244"
87,British Airways,New York John F Kennedy Intl,London Heathrow,6:10 pm,6:20 am,British Airways,London Heathrow,New York John F Kennedy Intl,2:10 pm,4:59 pm,"$1,227"
88,Finnair,Newark,London Heathrow,5:55 pm,5:50 am,British Airways,London Heathrow,New York John F Kennedy Intl,6:05 pm,9:00 pm,"$1,236"
89,Iberia,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,Iberia,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,239"
90,Finnair,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,Finnair,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,224"
91,Finnair,Newark,London Heathrow,5:55 pm,5:50 am,Iberia,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,236"
92,Iberia,New York John F Kennedy Intl,London Heathrow,7:30 pm,7:45 am,Iberia,London Heathrow,New York John F Kennedy Intl,5:00 pm,7:55 pm,"$1,239"
